USERNAME,EMAIL,ACCOUNT_NAME,ACCOUNT_ID,ACCOUNT_LEVEL,WINS,LOSSES,WIN_RATE,LEAGUE_POINTS,RANK,TIER,OVERALL_SCORE,ROLE,SCHEDULE_TIME_START,SCHEDULE_TIME_END,AGREEABLENESS,CONSCIENTIOUSNESS,EXTRAVERSION,NEUROTICISM,OPENNESS
OssieBoscoSr.,helene.harvey@yahoo.com,JackTupp,f475b5ce-08dd-49aa-82fb-54076ea9f016,201,102,62,62.2,1,I,CHALLENGER,3001,SUPPORT,14,15,2.7,1.7,5,2.5,4.1
ShannonWaters,burl.lindgren@gmail.com,BarryCade,56859771-3900-46ef-9cc3-8cb9b045306d,385,229,210,52.2,26,I,GRANDMASTER,3185,TOP,3,5,1.2,3,3.4,2.4,1.8
CarloSchulistI,nga.lockman@hotmail.com,JeanPoole,b3acdcc1-746a-4813-8447-24bcc9ca901d,55,152,126,54.7,1,I,BRONZE,455,JUNGLE,10,12,4.6,3.2,4.5,1.9,1.9
Mrs.DortheaHarber,anabel.rodriguez@yahoo.com,MaxPower,ae217a6f-4074-4a5f-877e-286fb096afe0,577,77,59,56.6,1,I,IRON,577,SUPPORT,7,11,1.4,3,1.6,3.2,1.2
LorindaKlein,herschel.reinger@gmail.com,CarlottaTendant,bdac13d9-0a6c-4fa8-8d41-3f6d4c1bbcc9,523,244,249,49.5,1,I,MASTER,3323,TOP,19,22,2,1.7,3.9,2.3,4.7
MichelDeckowJr.,wendell.mayert@hotmail.com,DustyRhodes,624b3317-4ce9-4722-b45b-ec377b562d72,236,176,159,52.5,9,II,IRON,336,JUNGLE,20,22,2.1,4.8,2.9,2.3,1.8
GeorgettaFerry,madelaine.walker@yahoo.com,LilyLivard,459ade52-e5bc-4df0-86f6-3362a0e2acdc,365,103,69,59.9,0,IV,PLATINUM,2265,TOP,8,9,2.5,2.5,2.3,1.6,4.5
DestinyAbshire,deloise.collier@yahoo.com,FatherA.Long,15e5f225-aa4d-4f15-832c-fca5a1f1ebad,152,263,249,51.4,0,II,BRONZE,652,ADC,19,21,4.4,4,3.7,2.8,2.2
JonahBotsford,nakita.beatty@yahoo.com,DustySandmann,b635a0c1-2f3d-484f-b819-3c7221db68ae,416,133,99,57.3,14,I,BRONZE,816,MID,6,7,4.3,3.3,4.9,4,2.9
ScottDenesik,gladys.muller@hotmail.com,DarrylLikt,c7590e25-41fa-45ff-a31f-7915a6c8a4e2,187,69,56,55.2,35,I,BRONZE,587,SUPPORT,6,10,2.9,4.2,3.6,3,1.4
ClementLeannon,luba.halvorson@gmail.com,TamaraKnight,985fbff8-3320-479e-ac02-fd15fedf247c,620,48,37,56.5,1,II,DIAMOND,2720,MID,11,15,4.5,3.7,1.5,2.1,4.5
AbelBernier,lavina.dare@yahoo.com,MarkZ.Spot,92b51d98-6e87-4f50-b76b-6332305a7d62,453,213,203,51.2,0,I,CHALLENGER,3253,JUNGLE,20,21,1.4,3.6,4.8,2.1,3.8
ParticiaMetz,cesar.shields@hotmail.com,ColinAllcars,a32cab99-6d4a-4a1f-b338-d45acd7046b5,477,121,81,59.9,138,IV,GOLD,1977,JUNGLE,13,17,1.4,1.8,2.9,4.2,3.9
KashaSpencer,wilson.okon@gmail.com,SallyMander,e0a8204f-0308-4947-93a3-440d0f923c11,105,155,144,51.8,39,I,PLATINUM,1705,MID,6,9,1.1,2.2,1.9,3.1,4.5
